Epoch	Stage	Loss	Sensitivity	Specificity	AUC - promoter	AUC - nonpromoter active	AUC - nonpromoter inactive	AUC - random
35	valid	1.12, 1.17, 1.17, 1.04	0.81, 0.72, 0.72, 1.00	0.91, 0.93, 0.90, 1.00	0.92, 0.90, 0.90, 0.96	0.89, 0.89, 0.86, 0.93	0.86, 0.85, 0.88, 0.93	1.00, 1.00, 1.00, 1.00
36	train	1.09, 1.13, 1.15, 1.04	0.89, 0.81, 0.78, 1.00	0.92, 0.96, 0.94, 1.00	0.94, 0.93, 0.93, 0.97	0.92, 0.92, 0.89, 0.94	0.90, 0.89, 0.90, 0.94	1.00, 1.00, 1.00, 1.00
36	valid	1.12, 1.24, 1.15, 1.04	0.82, 0.60, 0.77, 1.00	0.89, 0.96, 0.87, 1.00	0.91, 0.89, 0.90, 0.95	0.85, 0.84, 0.81, 0.87	0.88, 0.84, 0.88, 0.94	1.00, 1.00, 1.00, 1.00
37	train	1.09, 1.13, 1.15, 1.04	0.88, 0.81, 0.79, 1.00	0.93, 0.96, 0.94, 1.00	0.94, 0.93, 0.93, 0.97	0.92, 0.92, 0.89, 0.94	0.90, 0.90, 0.91, 0.94	1.00, 1.00, 1.00, 1.00
37	valid	1.12, 1.20, 1.17, 1.04	0.83, 0.66, 0.73, 1.00	0.90, 0.94, 0.89, 1.00	0.92, 0.90, 0.90, 0.95	0.86, 0.86, 0.83, 0.89	0.87, 0.84, 0.87, 0.93	1.00, 1.00, 1.00, 1.00
38	train	1.09, 1.13, 1.15, 1.04	0.88, 0.82, 0.78, 1.00	0.93, 0.95, 0.94, 1.00	0.94, 0.93, 0.93, 0.97	0.92, 0.92, 0.90, 0.94	0.90, 0.89, 0.91, 0.94	1.00, 1.00, 1.00, 1.00
38	valid	1.15, 1.15, 1.20, 1.04	0.77, 0.76, 0.65, 1.00	0.92, 0.88, 0.92, 1.00	0.89, 0.86, 0.89, 0.92	0.89, 0.88, 0.81, 0.93	0.83, 0.84, 0.85, 0.90	1.00, 1.00, 1.00, 1.00
39	train	1.09, 1.13, 1.15, 1.04	0.88, 0.82, 0.78, 1.00	0.93, 0.96, 0.94, 1.00	0.94, 0.93, 0.93, 0.97	0.92, 0.92, 0.89, 0.94	0.90, 0.90, 0.91, 0.94	1.00, 1.00, 1.00, 1.00
39	valid	1.07, 1.41, 1.27, 1.04	0.94, 0.22, 0.51, 1.00	0.63, 0.99, 0.93, 1.00	0.92, 0.86, 0.91, 0.99	0.70, 0.69, 0.68, 0.71	0.80, 0.74, 0.79, 0.84	1.00, 1.00, 1.00, 1.00
40	train	1.09, 1.13, 1.15, 1.04	0.88, 0.82, 0.78, 1.00	0.93, 0.95, 0.94, 1.00	0.94, 0.93, 0.93, 0.97	0.92, 0.92, 0.89, 0.94	0.90, 0.89, 0.91, 0.94	1.00, 1.00, 1.00, 1.00
40	valid	1.14, 1.09, 1.29, 1.04	0.78, 0.89, 0.46, 1.00	0.93, 0.81, 0.96, 1.00	0.90, 0.89, 0.88, 0.93	0.93, 0.92, 0.85, 0.97	0.79, 0.80, 0.80, 0.83	1.00, 1.00, 1.00, 1.00
41	train	1.09, 1.13, 1.15, 1.04	0.89, 0.81, 0.78, 1.00	0.92, 0.95, 0.94, 1.00	0.94, 0.93, 0.93, 0.97	0.92, 0.92, 0.89, 0.94	0.90, 0.89, 0.90, 0.93	1.00, 1.00, 1.00, 1.00
41	valid	1.15, 1.12, 1.21, 1.04	0.76, 0.82, 0.64, 1.00	0.94, 0.87, 0.92, 1.00	0.90, 0.89, 0.88, 0.92	0.91, 0.90, 0.85, 0.95	0.83, 0.83, 0.85, 0.89	1.00, 1.00, 1.00, 1.00
42	train	1.09, 1.13, 1.15, 1.04	0.88, 0.81, 0.78, 1.00	0.93, 0.95, 0.94, 1.00	0.94, 0.93, 0.93, 0.97	0.92, 0.92, 0.89, 0.94	0.90, 0.89, 0.90, 0.93	1.00, 1.00, 1.00, 1.00
42	valid	1.10, 1.26, 1.15, 1.04	0.85, 0.53, 0.76, 1.00	0.87, 0.97, 0.87, 1.00	0.92, 0.90, 0.91, 0.97	0.83, 0.83, 0.80, 0.85	0.88, 0.83, 0.88, 0.95	1.00, 1.00, 1.00, 1.00
43	train	1.09, 1.13, 1.15, 1.04	0.88, 0.82, 0.78, 1.00	0.93, 0.96, 0.94, 1.00	0.94, 0.93, 0.93, 0.97	0.92, 0.92, 0.90, 0.94	0.90, 0.90, 0.91, 0.94	1.00, 1.00, 1.00, 1.00
43	valid	1.17, 1.11, 1.36, 1.04	0.74, 0.86, 0.34, 1.00	0.93, 0.76, 0.97, 0.99	0.87, 0.85, 0.86, 0.90	0.89, 0.88, 0.78, 0.95	0.70, 0.71, 0.71, 0.73	1.00, 1.00, 1.00, 1.00
44	train	1.10, 1.13, 1.15, 1.04	0.88, 0.82, 0.79, 1.00	0.93, 0.95, 0.94, 1.00	0.94, 0.93, 0.93, 0.97	0.92, 0.92, 0.90, 0.94	0.90, 0.90, 0.91, 0.93	1.00, 1.00, 1.00, 1.00
44	valid	1.09, 1.40, 1.17, 1.04	0.89, 0.27, 0.72, 1.00	0.76, 0.99, 0.87, 1.00	0.92, 0.87, 0.91, 0.98	0.69, 0.69, 0.68, 0.70	0.88, 0.79, 0.87, 0.93	1.00, 1.00, 1.00, 1.00
45	train	1.09, 1.13, 1.15, 1.04	0.88, 0.81, 0.79, 1.00	0.93, 0.96, 0.94, 1.00	0.94, 0.93, 0.93, 0.97	0.92, 0.92, 0.90, 0.94	0.90, 0.90, 0.91, 0.94	1.00, 1.00, 1.00, 1.00
45	valid	1.14, 1.21, 1.15, 1.04	0.79, 0.64, 0.76, 1.00	0.91, 0.94, 0.88, 0.99	0.90, 0.88, 0.89, 0.94	0.86, 0.85, 0.81, 0.88	0.87, 0.84, 0.88, 0.94	1.00, 1.00, 1.00, 1.00
46	train	1.09, 1.13, 1.15, 1.04	0.89, 0.82, 0.79, 1.00	0.93, 0.96, 0.94, 1.00	0.95, 0.93, 0.93, 0.97	0.93, 0.92, 0.90, 0.94	0.90, 0.90, 0.91, 0.94	1.00, 1.00, 1.00, 1.00
46	valid	1.11, 1.22, 1.16, 1.04	0.84, 0.61, 0.73, 1.00	0.88, 0.95, 0.89, 1.00	0.92, 0.90, 0.91, 0.96	0.86, 0.85, 0.82, 0.89	0.88, 0.83, 0.88, 0.95	1.00, 1.00, 1.00, 1.00
47	train	1.09, 1.13, 1.14, 1.04	0.88, 0.82, 0.80, 1.00	0.93, 0.96, 0.94, 1.00	0.95, 0.93, 0.93, 0.97	0.93, 0.92, 0.90, 0.94	0.90, 0.90, 0.91, 0.94	1.00, 1.00, 1.00, 1.00
47	valid	1.15, 1.13, 1.20, 1.04	0.76, 0.80, 0.66, 1.00	0.93, 0.88, 0.91, 1.00	0.90, 0.89, 0.89, 0.93	0.90, 0.90, 0.85, 0.94	0.84, 0.84, 0.86, 0.91	1.00, 1.00, 1.00, 1.00
48	train	1.09, 1.13, 1.15, 1.04	0.88, 0.83, 0.78, 1.00	0.93, 0.96, 0.94, 1.00	0.94, 0.93, 0.93, 0.97	0.93, 0.92, 0.90, 0.94	0.90, 0.90, 0.91, 0.94	1.00, 1.00, 1.00, 1.00
48	valid	1.11, 1.24, 1.18, 1.04	0.85, 0.58, 0.72, 1.00	0.86, 0.96, 0.89, 1.00	0.92, 0.88, 0.91, 0.96	0.83, 0.83, 0.79, 0.85	0.86, 0.83, 0.87, 0.92	1.00, 1.00, 1.00, 1.00
49	train	1.09, 1.13, 1.14, 1.04	0.89, 0.83, 0.79, 1.00	0.93, 0.96, 0.94, 1.00	0.95, 0.94, 0.93, 0.97	0.93, 0.93, 0.90, 0.94	0.90, 0.90, 0.91, 0.94	1.00, 1.00, 1.00, 1.00
